season,date,type,subtype,teams,n_teams,players,n_players,players_out,players_in,is_aggregation,text
2022-23,2022-10-04,waiver,,LAC,1,devoemi01,1,0,0,False,The Los Angeles Clippers waived Michael Devoe.
2022-23,2022-10-04,signing,other_signing,GSW,1,jeromty01,1,0,0,False,The Golden State Warriors signed Ty Jerome.
2022-23,2022-10-04,signing,other_signing,OKC,1,woodaro01,1,0,0,False,The Oklahoma City Thunder signed Robert Woodard.
2022-23,2022-10-04,waiver,,OKC,1,killesa01,1,0,0,False,The Oklahoma City Thunder waived Sacha Killeya-Jones.
2022-23,2022-10-04,signing,other_signing,LAC,1,darlina01,1,0,0,False,The Los Angeles Clippers signed Nate Darling.
2022-23,2022-10-04,signing,other_signing,LAC,1,fittsma01,1,0,0,False,The Los Angeles Clippers signed Malik Fitts.
2022-23,2022-10-05,signing,other_signing,GSW,1,lamban01,1,0,0,False,The Golden State Warriors signed Anthony Lamb.
2022-23,2022-10-06,signing,other_signing,CHO,1,sneedxa01,1,0,0,False,The Charlotte Hornets signed Xavier Sneed.
2022-23,2022-10-06,waiver,,CHO,1,whaleis01,1,0,0,False,The Charlotte Hornets waived Isaiah Whaley.
2022-23,2022-10-06,waiver,,OKC,1,woodaro01,1,0,0,False,The Oklahoma City Thunder waived Robert Woodard.
2022-23,2022-10-06,signing,other_signing,BRK,1,kirkwno01,1,0,0,False,The Brooklyn Nets signed Noah Kirkwood.
2022-23,2022-10-07,signing,other_signing,OKC,1,ramseja01,1,0,0,False,The Oklahoma City Thunder signed Jahmi'us Ramsey.
2022-23,2022-10-07,waiver,,DEN,1,goldegr01,1,0,0,False,The Denver Nuggets waived Grant Golden.
2022-23,2022-10-07,waiver,,CHI,1,freemja01,1,0,0,False,The Chicago Bulls waived Javon Freeman-Liberty.
2022-23,2022-10-07,waiver,,POR,1,willibr03,1,0,0,False,The Portland Trail Blazers waived Brandon Williams.
2022-23,2022-10-07,waiver,,POR,1,iwundwe01,1,0,0,False,The Portland Trail Blazers waived Wesley Iwundu.
2022-23,2022-10-07,waiver,,POR,1,cacokde01,1,0,0,False,The Portland Trail Blazers waived Devontae Cacok.
2022-23,2022-10-07,waiver,,DEN,1,armsad01,1,0,0,False,The Denver Nuggets waived Adonis Arms.
2022-23,2022-10-08,waiver,,OKC,1,ramseja01,1,0,0,False,The Oklahoma City Thunder waived Jahmi'us Ramsey.
2022-23,2022-10-08,waiver,,ORL,1,simpsza01,1,0,0,False,The Orlando Magic waived Zavier Simpson.
2022-23,2022-10-08,waiver,,ORL,1,fordal03,1,0,0,False,The Orlando Magic waived Aleem Ford.
2022-23,2022-10-08,waiver,,LAL,1,mccoyja01,1,0,0,False,The Los Angeles Lakers waived Javante McCoy.
2022-23,2022-10-08,waiver,,LAL,1,bacondw01,1,0,0,False,The Los Angeles Lakers waived Dwayne Bacon.
2022-23,2022-10-08,signing,other_signing,ORL,1,moralal01,1,0,0,False,The Orlando Magic signed Alex Morales.
2022-23,2022-10-08,waiver,,ORL,1,moralal01,1,0,0,False,The Orlando Magic waived Alex Morales.
